ID,COMUNIDAD,MUNICIPIO,REGION,PROVINCIA,PROPOSITO,PROPOSITO_ORIGINAL,AREA_PLANTADA_HA,PLANTINES,TIPO_PLANTA,CAMPAÑA,SIG_GEOMETRIAS_ID,DOCUMENTOS_ID
1,PAJCHA 01,ALALAY,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,3.44,3500,Pinus radiata,2025-2026,175,
2,AGUADA B,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,3.5,3500,PINO RADIATA / PINO CIPRES / JARKA,2026,176,
3,AGUADA B,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,3.5,3500,,,177,
4,AGUADA B,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,3,3000,,,178,
5,CUEVAS PAMPA,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,1,1000,,,179,
6,SIVINGANI ALTO,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,2,2000,,,180,
7,SIVINGANI ALTO,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,2,2000,,,181,
8,MULLU KUCHU,VILA VILA,Cono Sur,Carrasco,COMERCIAL,COMERCIAL,1,1000,,,182,
9,TUTI SAN ISIDRO,SAN BENITO,Valles,Cercado,COMERCIAL,COMERCIAL,3.52,5000,PINO RADIATA,2023,183,
10,TUTI ALTO,SAN BENITO,Valles,Cercado,COMERCIAL,COMERCIAL,0.3,10000,PINO RADIATA,2024,184,
11,PAJCHA PUJRO,SAN BENITO,Valles,Cercado,COMERCIAL,COMERCIAL,3.37,5000,PINO RADIATA,2024,185,
12,TUTI SAN ISIDRO,SAN BENITO,Valles,Cercado,COMERCIAL,COMERCIAL,5,5000,PINO RADIATA,2025,186,
13,PAJCHA PUJRO,SAN BENITO,Valles,Cercado,COMERCIAL,COMERCIAL,7.36,10000,PINO RADIATA,2026,187,
14,MOROCHATA,ANZALDO,Valles,Campero,COMERCIAL,COMERCIAL,5.11,,PINO RADIATA,2025-2026,188,
15,MOROCHATA,ANZALDO,Valles,Campero,COMERCIAL,COMERCIAL,0.92,,PINO RADIATA,,189,
16,MOROCHATA,ANZALDO,Valles,Campero,COMERCIAL,COMERCIAL,0.56,,PINO RADIATA,,190,
